country,generation,suicides_no_x,suicide_percentage
Albania,Boomers,577,29.29%
Albania,G.I. Generation,52,2.64%
Albania,Generation X,736,37.36%
Albania,Generation Z,14,0.71%
Albania,Millenials,236,11.98%
Albania,Silent,355,18.02%
Antigua and Barbuda,Boomers,7,63.64%
Antigua and Barbuda,G.I. Generation,0,0.00%
Antigua and Barbuda,Generation X,0,0.00%
Antigua and Barbuda,Generation Z,0,0.00%
Antigua and Barbuda,Millenials,0,0.00%
Antigua and Barbuda,Silent,4,36.36%
Argentina,Boomers,18955,23.05%
Argentina,G.I. Generation,8514,10.36%
Argentina,Generation X,17609,21.42%
Argentina,Generation Z,548,0.67%
Argentina,Millenials,16086,19.56%
Argentina,Silent,20507,24.94%
Armenia,Boomers,661,34.70%
Armenia,G.I. Generation,78,4.09%
Armenia,Generation X,379,19.90%
Armenia,Generation Z,10,0.52%
Armenia,Millenials,158,8.29%
Armenia,Silent,619,32.49%
Aruba,Boomers,39,38.61%
Aruba,G.I. Generation,5,4.95%
Aruba,Generation X,32,31.68%
Aruba,Generation Z,0,0.00%
Aruba,Millenials,6,5.94%
Aruba,Silent,19,18.81%
Australia,Boomers,23464,33.47%
Australia,G.I. Generation,4677,6.67%
Australia,Generation X,20951,29.88%
Australia,Generation Z,126,0.18%
Australia,Millenials,6964,9.93%
Australia,Silent,13929,19.87%
Austria,Boomers,14939,29.83%
Austria,G.I. Generation,7733,15.44%
Austria,Generation X,8472,16.92%
Austria,Generation Z,33,0.07%
Austria,Millenials,2296,4.59%
Austria,Silent,16600,33.15%
Azerbaijan,Boomers,660,39.86%
Azerbaijan,G.I. Generation,52,3.14%
Azerbaijan,Generation X,381,23.01%
Azerbaijan,Generation Z,4,0.24%
Azerbaijan,Millenials,177,10.69%
Azerbaijan,Silent,382,23.07%
Bahamas,Boomers,36,38.71%
Bahamas,G.I. Generation,0,0.00%
Bahamas,Generation X,31,33.33%
Bahamas,Generation Z,1,1.08%
Bahamas,Millenials,16,17.20%
Bahamas,Silent,9,9.68%
Bahrain,Boomers,156,33.69%
Bahrain,G.I. Generation,1,0.22%
Bahrain,Generation X,206,44.49%
Bahrain,Generation Z,3,0.65%
Bahrain,Millenials,72,15.55%
Bahrain,Silent,25,5.40%
Barbados,Boomers,74,41.81%
Barbados,G.I. Generation,16,9.04%
Barbados,Generation X,40,22.60%
Barbados,Generation Z,0,0.00%
Barbados,Millenials,1,0.56%
Barbados,Silent,46,25.99%
Belarus,Boomers,24580,41.04%
Belarus,G.I. Generation,2041,3.41%
Belarus,Generation X,13050,21.79%
Belarus,Generation Z,62,0.10%
Belarus,Millenials,4028,6.73%
Belarus,Silent,16131,26.93%
Belgium,Boomers,21400,34.10%
Belgium,G.I. Generation,8269,13.18%
Belgium,Generation X,11826,18.84%
Belgium,Generation Z,56,0.09%
Belgium,Millenials,3168,5.05%
Belgium,Silent,18042,28.75%
Belize,Boomers,80,22.99%
Belize,G.I. Generation,5,1.44%
Belize,Generation X,119,34.20%
Belize,Generation Z,6,1.72%
Belize,Millenials,112,32.18%
Belize,Silent,26,7.47%
Bosnia and Herzegovina,Boomers,109,34.28%
Bosnia and Herzegovina,Generation X,126,39.62%
Bosnia and Herzegovina,Generation Z,1,0.31%
Bosnia and Herzegovina,Millenials,31,9.75%
Bosnia and Herzegovina,Silent,51,16.04%
Brazil,Boomers,70364,31.05%
Brazil,G.I. Generation,7811,3.45%
Brazil,Generation X,70971,31.32%
Brazil,Generation Z,1073,0.47%
Brazil,Millenials,38753,17.10%
Brazil,Silent,37641,16.61%
Bulgaria,Boomers,9205,25.30%
Bulgaria,G.I. Generation,7561,20.78%
Bulgaria,Generation X,4686,12.88%
Bulgaria,Generation Z,16,0.04%
Bulgaria,Millenials,1201,3.30%
Bulgaria,Silent,13719,37.70%
Cabo Verde,Boomers,3,7.14%
Cabo Verde,Generation X,20,47.62%
Cabo Verde,Generation Z,3,7.14%
Cabo Verde,Millenials,14,33.33%
Cabo Verde,Silent,2,4.76%
Canada,Boomers,42158,39.19%
Canada,G.I. Generation,6870,6.39%
Canada,Generation X,26063,24.23%
Canada,Generation Z,215,0.20%
Canada,Millenials,8555,7.95%
Canada,Silent,23700,22.03%
Chile,Boomers,12673,30.99%
Chile,G.I. Generation,1422,3.48%
Chile,Generation X,12116,29.63%
Chile,Generation Z,214,0.52%
Chile,Millenials,7214,17.64%
Chile,Silent,7256,17.74%
Colombia,Boomers,12503,23.56%
Colombia,G.I. Generation,1093,2.06%
Colombia,Generation X,18389,34.64%
Colombia,Generation Z,709,1.34%
Colombia,Millenials,14051,26.47%
Colombia,Silent,6335,11.93%
Costa Rica,Boomers,2155,31.73%
Costa Rica,G.I. Generation,167,2.46%
Costa Rica,Generation X,2172,31.98%
Costa Rica,Generation Z,42,0.62%
